,,,,
0.118,crop xpol,crop xpol,,#VALUE!
,5685648,0.042808628928803,132815466,0.005051418213599
,13335639,0.100407274857583,,0.011848058433195
,28678757,0.215929348167931,,0.025479663083816
,85115422,0.640854748045683,,0.075620860269391
,132815466,,,
